"","year","month","Ppt","Tmid"
"707",1949,8,56.1,24.56
"708",1949,9,16,18.17
"698",1949,10,67.1,14
"699",1949,11,5.8,8.72
"700",1949,12,0.8,-0.67
"709",1950,1,0,-3.06
"713",1950,2,13.5,1.61
"714",1950,3,15,3.28
"715",1950,4,19.3,9.94
"716",1950,5,155.4,16.17
"717",1950,6,26.4,23.78
"718",1950,7,152.4,23.17
"719",1950,8,187.5,21.67
"720",1950,9,6.9,18.33
"710",1950,10,45.2,15.44
"711",1950,11,5.6,3.39
"712",1950,12,1,-0.28
"721",1951,1,15.7,-2.78
"725",1951,2,37.6,-0.06
"726",1951,3,44.5,1.94
"727",1951,4,88.1,9.17
"728",1951,5,185.2,16.83
"729",1951,6,333.5,19.61
"730",1951,7,119.1,24.11
"731",1951,8,80.3,24.89
"732",1951,9,145,17.28
"722",1951,10,0,11.89
"723",1951,11,31,3.11
"724",1951,12,21.1,-2.22
"733",1952,1,5.8,-0.94
"737",1952,2,4.1,2.72
"738",1952,3,48,1.56
"739",1952,4,74.2,9.67
"740",1952,5,50.3,16.5
"741",1952,6,4.3,27.44
"742",1952,7,47.5,26.56
"743",1952,8,42.2,26.39
"744",1952,9,11.7,21.28
"734",1952,10,12.2,12.11
"735",1952,11,63,3.89
"736",1952,12,29.2,-2.61
"745",1953,1,4.3,0.5
"749",1953,2,17.5,2.94
"750",1953,3,50.5,7
"751",1953,4,31.8,9.28
"752",1953,5,41.7,16
"753",1953,6,67.8,26.72
"754",1953,7,132.6,25.28
"755",1953,8,67.8,24.22
"756",1953,9,16.8,21.17
"746",1953,10,49,15.44
"747",1953,11,0,5.06
"748",1953,12,3.3,0.17
"757",1954,1,0.5,-3.11
"761",1954,2,15.5,6.22
"762",1954,3,5.6,3.78
"763",1954,4,43.9,14.06
"764",1954,5,141.5,14.22
"765",1954,6,67.3,24.17
"766",1954,7,26.9,29.17
"767",1954,8,67.6,27
"768",1954,9,50.3,23.56
"758",1954,10,4.1,13.06
"759",1954,11,2.3,7.39
"760",1954,12,6.4,0.94
"769",1955,1,11.4,-1.56
"773",1955,2,16.3,-4.06
"774",1955,3,3.8,4
"775",1955,4,76.5,14
"776",1955,5,63,18.39
"777",1955,6,94,21.06
"778",1955,7,53.1,28.44
"779",1955,8,13,26.61
"780",1955,9,193.8,21.44
"770",1955,10,18.8,13.78
"771",1955,11,1.3,2.72
"772",1955,12,0.5,-3.28
"781",1956,1,16,-2.89
"785",1956,2,15.2,-3.94
"786",1956,3,4.3,5.28
"787",1956,4,32.5,9.22
"788",1956,5,36.1,18.78
"789",1956,6,9.7,25.56
"790",1956,7,70.9,26
"791",1956,8,27.2,26.67
"792",1956,9,1.5,21.83
"782",1956,10,31,15.94
"783",1956,11,20.3,4.11
"784",1956,12,2.3,0.89
"793",1957,1,4.8,-6.83
"797",1957,2,2.8,1.61
"798",1957,3,62,3.78
"799",1957,4,54.4,9.39
"800",1957,5,103.6,15.5
"801",1957,6,171.2,21.17
"802",1957,7,79,26.89
"803",1957,8,99.6,25.56
"804",1957,9,88.6,17.67
"794",1957,10,13.7,12.5
"795",1957,11,12.7,3.33
"796",1957,12,3.3,3.17
"805",1958,1,6.4,-0.11
"809",1958,2,25.1,-2.33
"810",1958,3,101.1,-3.17
"811",1958,4,41.1,9.78
"812",1958,5,173,17.89
"813",1958,6,59.2,22
"814",1958,7,198.6,23.67
"815",1958,8,110.5,24.28
"816",1958,9,48,21.22
"806",1958,10,94.7,13.94
"807",1958,11,0.8,5.83
"808",1958,12,4.3,-0.83
"817",1959,1,9.7,-4.72
"821",1959,2,6.4,-1.61
"822",1959,3,21.1,5.39
"823",1959,4,13.5,10.67
"824",1959,5,162.6,17.89
"825",1959,6,39.4,23.83
"826",1959,7,91.9,23.44
"827",1959,8,57.2,27.61
"828",1959,9,119.1,19.56
"818",1959,10,50,10.89
"819",1959,11,8.6,2.11
"820",1959,12,18.8,2.33
"829",1960,1,31,-3.94
"833",1960,2,30.7,-5.22
"834",1960,3,23.9,-1.78
"835",1960,4,59.4,13.22
"836",1960,5,72.9,15.94
"837",1960,6,81.3,21.5
"838",1960,7,2.3,24.78
"839",1960,8,95.5,25.33
"840",1960,9,45.5,21.17
"830",1960,10,14.5,14.06
"831",1960,11,50.3,5.11
"832",1960,12,11.2,-1.94
"841",1961,1,0,-1.33
"845",1961,2,7.4,1.44
"846",1961,3,33.8,5.28
"847",1961,4,32.3,9.39
"848",1961,5,114.8,15.5
"849",1961,6,119.4,22.17
"850",1961,7,87.6,25.44
"851",1961,8,147.3,23.83
"852",1961,9,100.6,16.94
"842",1961,10,10.7,12.67
"843",1961,11,8.9,3.06
"844",1961,12,6.6,-4.11
"853",1962,1,9.7,-4.56
"857",1962,2,14,1.44
"858",1962,3,24.9,2.89
"859",1962,4,16.3,11.39
"860",1962,5,39.9,21.06
"861",1962,6,147.1,21.67
"862",1962,7,182.1,24.61
"863",1962,8,83.1,25.17
"864",1962,9,43.4,18.39
"854",1962,10,29.7,14.5
"855",1962,11,7.6,5.72
"856",1962,12,5.8,0.56
"865",1963,1,3.8,-7.5
"869",1963,2,2.8,2.06
"870",1963,3,43.2,7.44
"871",1963,4,1.3,13.78
"872",1963,5,24.1,19.06
"873",1963,6,78,24.89
"874",1963,7,127,27.72
"875",1963,8,22.9,26.33
"876",1963,9,216.9,21.78
"866",1963,10,2.5,18.11
"867",1963,11,38.4,6.44
"868",1963,12,4.3,-4.39
"877",1964,1,0,0.22
"881",1964,2,19.8,-0.83
"882",1964,3,22.4,2.94
"883",1964,4,12.4,12.39
"884",1964,5,61.5,19.61
"885",1964,6,171.7,22.06
"886",1964,7,32.5,28.17
"887",1964,8,49.8,24.44
"888",1964,9,86.6,20.39
"878",1964,10,38.9,13.11
"879",1964,11,0,5.83
"880",1964,12,19.1,-2.72
"889",1965,1,4.6,-1.06
"893",1965,2,18.3,-2.78
"894",1965,3,25.1,-0.61
"895",1965,4,19.3,13.39
"896",1965,5,99.8,18.94
"897",1965,6,165.6,21.83
"898",1965,7,125,25.89
"899",1965,8,54.9,23.94
"900",1965,9,51.6,17.06
"890",1965,10,20.6,14.28
"891",1965,11,3,7.56
"892",1965,12,16,1.06
"901",1966,1,4.1,-5.5
"905",1966,2,17,-2.33
"906",1966,3,3.3,6.83
"907",1966,4,17.5,9.83
"908",1966,5,3.8,17.56
"909",1966,6,80.3,23.72
"910",1966,7,86.9,28.39
"911",1966,8,91.7,23.17
"912",1966,9,91.2,19.39
"902",1966,10,2.8,12.94
"903",1966,11,4.8,4.72
"904",1966,12,10.9,-2.28
"913",1967,1,4.6,-1.78
"917",1967,2,0,1.17
"918",1967,3,2.5,7.39
"919",1967,4,49,13.11
"920",1967,5,66,15
"921",1967,6,196.3,21.11
"922",1967,7,176.8,22.89
"923",1967,8,14.2,23.06
"924",1967,9,72.4,18.06
"914",1967,10,88.9,12.61
"915",1967,11,16.8,5.06
"916",1967,12,14.2,-0.44
"925",1968,1,0,-3.06
"929",1968,2,2.5,-0.39
"930",1968,3,1.5,7.39
"931",1968,4,36.8,10.94
"932",1968,5,58.4,14.22
"933",1968,6,43.9,24.11
"934",1968,7,100.1,25.78
"935",1968,8,43.2,25.28
"936",1968,9,71.9,19.44
"926",1968,10,91.4,13.78
"927",1968,11,2.3,4.11
"928",1968,12,8.1,-3.44
"937",1969,1,2,-3.5
"941",1969,2,36.3,-0.22
"942",1969,3,32.5,0.72
"943",1969,4,66,12.44
"944",1969,5,85.6,17.33
"945",1969,6,136.1,19.89
"946",1969,7,61.2,26.11
"947",1969,8,90.9,24.33
"948",1969,9,25.4,20.11
"938",1969,10,21.3,10.17
"939",1969,11,5.6,5.83
"940",1969,12,0,0.17
"949",1970,1,1.5,-3.83
"953",1970,2,0,2.17
"954",1970,3,26.4,1.89
"955",1970,4,45,10.67
"956",1970,5,49.8,19.28
"957",1970,6,168.1,22.17
"958",1970,7,40.4,25.72
"959",1970,8,40.9,27.06
"960",1970,9,64,18.78
"950",1970,10,64.3,10.72
"951",1970,11,67.8,3.61
"952",1970,12,21.1,0.78
"961",1971,1,11.4,-3.72
"965",1971,2,50.5,-2.17
"966",1971,3,7.1,3.72
"967",1971,4,79.8,11.78
"968",1971,5,115.8,15.06
"969",1971,6,47.2,24.83
"970",1971,7,106.2,24.28
"971",1971,8,20.1,24.22
"972",1971,9,11.9,19.39
"962",1971,10,14.5,14.06
"963",1971,11,64.5,5.61
"973",1972,1,1.8,-3.61
"977",1972,2,0,0.11
"978",1972,3,8.9,8.11
"979",1972,4,38.6,11.33
"980",1972,5,95.8,16.56
"981",1972,6,82.8,22.67
"982",1972,7,65.3,24.11
"983",1972,8,144.8,23.56
"984",1972,9,37.6,19.22
"974",1972,10,77,11.22
"975",1972,11,31.2,2.39
"976",1972,12,52.8,-4.5
"985",1973,1,15.5,-2.78
"989",1973,2,5.1,0.78
"990",1973,3,201.2,6.72
"991",1973,4,48.3,9.67
"992",1973,5,63.2,15.06
"993",1973,6,18.5,23.28
"994",1973,7,161,25.72
"995",1973,8,87.6,25.61
"996",1973,9,127.5,17.33
"986",1973,10,61.7,13.61
"987",1973,11,19.3,4.94
"988",1973,12,6.1,-1.83
"997",1974,1,4.6,-5.5
"1001",1974,2,1.5,2.56
"1002",1974,3,27.9,7.06
"1003",1974,4,36.8,12.22
"1004",1974,5,43.2,18.17
"1005",1974,6,75.9,21.94
"1006",1974,7,39.1,27.61
"1007",1974,8,65,22.5
"1008",1974,9,5.6,16.39
"998",1974,10,0,14.28
"999",1974,11,83.6,5.44
"1000",1974,12,0.8,-0.94
"1009",1975,1,6.9,-0.06
"1013",1975,2,22.1,-2.78
"1014",1975,3,23.4,1.39
"1015",1975,4,83.6,10.33
"1016",1975,5,98,17.06
"1017",1975,6,167.9,21.33
"1018",1975,7,2.3,25.67
"1019",1975,8,53.1,26.17
"1020",1975,9,32.5,18.28
"1010",1975,10,38.9,13.5
"1011",1975,11,1.5,4.56
"1012",1975,12,0,1.33
"1021",1976,1,0,-1.11
"1025",1976,2,21.6,5
"1026",1976,3,18.8,5.22
"1027",1976,4,103.1,12.78
"1028",1976,5,73.2,14.5
"1029",1976,6,51.1,22.39
"1030",1976,7,156,25.56
"1031",1976,8,5.8,25.67
"1032",1976,9,56.6,19.44
"1022",1976,10,19.8,9.56
"1023",1976,11,13.2,2.44
"1024",1976,12,3.8,0.33
"1033",1977,1,17.8,-6.72
"1037",1977,2,4.3,3.39
"1038",1977,3,13,7.33
"1039",1977,4,58.2,13.5
"1040",1977,5,86.6,19.56
"1041",1977,6,43.9,24.5
"1042",1977,7,57.7,28.11
"1043",1977,8,180.3,23.89
"1044",1977,9,16.5,20.56
"1034",1977,10,1.8,13.28
"1035",1977,11,57.2,5.28
"1036",1977,12,7.1,-0.11
"1045",1978,1,4.6,-7.83
"1049",1978,2,27.7,-6.67
"1050",1978,3,32.5,4.56
"1051",1978,4,37.8,13.56
"1052",1978,5,99.1,16.17
"1053",1978,6,51.8,23.22
"1054",1978,7,72.1,27.06
"1055",1978,8,29.5,25.22
"1056",1978,9,21.6,22
"1046",1978,10,77,13.17
"1047",1978,11,15.7,4.61
"1048",1978,12,21.3,-1.56
"1057",1979,1,42.4,-10
"1061",1979,2,10.9,-6
"1062",1979,3,164.1,5.67
"1063",1979,4,46.7,11.28
"1064",1979,5,25.9,15.72
"1065",1979,6,33.8,22.67
"1066",1979,7,97.8,26.06
"1067",1979,8,53.6,23.83
"1068",1979,9,10.7,21.33
"1058",1979,10,22.9,14.89
"1059",1979,11,0,3.5
"1060",1979,12,13.7,2
"1069",1980,1,18,-2.22
"1073",1980,2,23.4,-2.94
"1074",1980,3,71.4,2.39
"1075",1980,4,41.7,11
"1076",1980,5,60.5,16.06
"1077",1980,6,19.6,24.83
"1078",1980,7,18.3,30.39
"1079",1980,8,149.6,26.44
"1080",1980,9,19.1,20.67
"1070",1980,10,22.9,12.78
"1071",1980,11,70.6,6.72
"1072",1980,12,17,1.78
"1081",1981,1,5.6,0.39
"1085",1981,2,1.5,1.56
"1086",1981,3,50.5,6.78
"1087",1981,4,53.8,16
"1088",1981,5,127.3,14.83
"1089",1981,6,29.5,24.06
"1090",1981,7,131.8,25.78
"1091",1981,8,31.8,24
"1092",1981,9,65,20.22
"1082",1981,10,27.9,12.44
"1083",1981,11,11.4,6.61
"1084",1981,12,28.2,0.33
"1093",1982,1,12.2,-5.11
"1097",1982,2,18.8,-3.39
"1098",1982,3,80.8,4.94
"1099",1982,4,32.5,10.72
"1100",1982,5,105.2,17.28
"1101",1982,6,60.5,19.5
"1102",1982,7,111.8,25.94
"1103",1982,8,18.8,25.33
"1104",1982,9,17.3,20.22
"1094",1982,10,42.2,12.72
"1095",1982,11,50.8,3.94
"1096",1982,12,16.5,0.78
"1105",1983,1,13.2,-1.06
"1109",1983,2,27.7,1.33
"1110",1983,3,52.3,4.67
"1111",1983,4,31.8,7.78
"1112",1983,5,52.8,14.56
"1113",1983,6,39.1,20.94
"1114",1983,7,9.7,28.28
"1115",1983,8,47.2,29.39
"1116",1983,9,22.6,21.5
"1106",1983,10,95.5,14
"1107",1983,11,2.3,5.83
"1108",1983,12,54.1,-10
"1117",1984,1,8.6,-3.22
"1121",1984,2,7.6,4.06
"1122",1984,3,80,3
"1123",1984,4,134.4,8.83
"1124",1984,5,34.8,16.33
"1125",1984,6,112.5,23.39
"1126",1984,7,29.5,25.94
"1127",1984,8,55.4,26.56
"1128",1984,9,23.9,19.11
"1118",1984,10,38.4,11.61
"1119",1984,11,13.2,5.44
"1120",1984,12,6.9,-0.11
"1129",1985,1,22.9,-5.67
"1133",1985,2,8.1,-3.56
"1134",1985,3,18.8,7
"1135",1985,4,74.9,13.83
"1136",1985,5,93.2,18
"1138",1985,7,118.1,26.22
"1139",1985,8,75.2,23
"1140",1985,9,79.8,19.22
"1130",1985,10,71.1,11.83
"1131",1985,11,15,0.39
"1132",1985,12,19.1,-2.11
"1141",1986,1,0,2.83
"1145",1986,2,5.1,0.94
"1146",1986,3,33.3,9.33
"1147",1986,4,49,13.17
"1148",1986,5,45.5,17.78
"1149",1986,6,124.7,24.39
"1150",1986,7,76.7,27.22
"1151",1986,8,66.5,24.22
"1152",1986,9,86.4,21.06
"1142",1986,10,23.6,12.56
"1143",1986,11,24.1,4.11
"1144",1986,12,7.6,0.89
"1153",1987,1,4.6,-0.28
"1157",1987,2,31,3.94
"1158",1987,3,165.9,5.06
"1159",1987,4,81.8,12.22
"1160",1987,5,60.7,18.83
"1161",1987,6,95.8,23.83
"1162",1987,7,67.3,25.78
"1163",1987,8,113.8,24.28
"1164",1987,9,10.9,20.17
"1154",1987,10,10.2,11.78
"1155",1987,11,15.2,6.94
"1156",1987,12,5.6,0.17
"1165",1988,1,16,-4.56
"1169",1988,2,7.6,-0.78
"1170",1988,3,7.9,5.83
"1171",1988,4,49,11.06
"1172",1988,5,22.1,19.28
"1173",1988,6,26.9,26.56
"1174",1988,7,99.3,25.83
"1175",1988,8,31,26.44
"1176",1988,9,71.9,20.11
"1166",1988,10,47,11.89
"1167",1988,11,0.3,6.44
"1168",1988,12,1.8,2.06
"1177",1989,1,1.5,1.39
"1182",1989,3,14.7,4.67
"1183",1989,4,3,14.67
"1184",1989,5,53.1,18.33
"1185",1989,6,98.8,20.39
"1186",1989,7,112.8,25.17
"1187",1989,8,33,24.44
"1188",1989,9,82.3,18.39
"1178",1989,10,10.4,14.22
"1179",1989,11,16.8,6
"1180",1989,12,8.1,-3
"1189",1990,1,23.1,0.39
"1193",1990,2,6.1,1.83
"1194",1990,3,62.2,7.39
"1195",1990,4,102.1,11.33
"1196",1990,5,103.6,15.44
"1197",1990,6,49.5,25.33
"1198",1990,7,84.8,25.94
"1199",1990,8,106.4,25
"1200",1990,9,41.7,22.28
"1190",1990,10,13.7,13.11
"1191",1990,11,25.7,7.94
"1192",1990,12,42.2,-3.22
"1201",1991,1,2.8,-4
"1205",1991,2,0,4.67
"1206",1991,3,37.6,7.06
"1207",1991,4,31.2,13.22
"1208",1991,5,96.3,19.44
"1209",1991,6,29.5,25.44
"1210",1991,7,37.1,28.28
"1211",1991,8,67.1,25.28
"1212",1991,9,23.1,21.11
"1202",1991,10,52.3,13.17
"1203",1991,11,49.5,1.39
"1204",1991,12,26.7,1.89
"1213",1992,1,31.5,2.22
"1217",1992,2,30.5,4.56
"1218",1992,3,30.2,8.39
"1219",1992,4,7.4,12.33
"1220",1992,5,100.3,17.33
"1221",1992,6,153.4,20.39
"1222",1992,7,98.3,24.11
"1223",1992,8,103.4,21.5
"1224",1992,9,41.1,20.39
"1214",1992,10,14,13.28
"1215",1992,11,10.2,2.22
"1216",1992,12,26.9,-3.72
"1225",1993,1,31.5,-6
"1229",1993,2,69.1,-4.94
"1230",1993,3,44.7,3.89
"1231",1993,4,25.9,9.83
"1232",1993,5,92.5,16.89
"1233",1993,6,140.5,22
"1234",1993,7,293.9,25.17
"1235",1993,8,159,24.56
"1236",1993,9,56.9,17.5
"1226",1993,10,25.4,12.06
"1227",1993,11,50.5,2.89
"1228",1993,12,25.9,1.39
"1237",1994,1,19.1,-2.44
"1241",1994,2,12.2,-2.94
"1242",1994,3,2.3,8.22
"1243",1994,4,68.8,11.39
"1244",1994,5,26.4,18.39
"1245",1994,6,18.3,25.61
"1246",1994,7,139.7,24.28
"1247",1994,8,6.9,26.06
"1248",1994,9,17,20.5
"1238",1994,10,4.6,14.06
"1239",1994,11,4.8,5.89
"1240",1994,12,11.2,1.72
"1249",1995,1,38.4,-1.39
"1253",1995,2,4.3,3.83
"1254",1995,3,25.9,5.17
"1255",1995,4,36.3,9.5
"1256",1995,5,227.8,13.61
"1257",1995,6,19.1,21.22
"1258",1995,7,29.7,26.06
"1259",1995,8,33.8,27.94
"1260",1995,9,33.3,19.44
"1250",1995,10,23.9,13.06
"1251",1995,11,94,4.83
"1252",1995,12,0.8,-0.39
"1261",1996,1,9.4,-4.5
"1265",1996,2,2,1.78
"1266",1996,3,33,2.11
"1267",1996,4,17.8,12.5
"1268",1996,5,178.8,17.78
"1269",1996,6,110,23.33
"1270",1996,7,130.3,24.78
"1271",1996,8,128.5,23.11
"1272",1996,9,78.7,17.94
"1262",1996,10,64.3,13.28
"1263",1996,11,4.1,2.67
"1264",1996,12,41.4,-1.28
"1273",1997,1,0,-2.89
"1277",1997,2,18,0.22
"1278",1997,3,0.3,7.5
"1279",1997,4,65.5,8.67
"1280",1997,5,39.6,15.83
"1281",1997,6,110.5,22.5
"1282",1997,7,87.6,25.44
"1283",1997,8,160.5,23.83
"1284",1997,9,51.6,21.22
"1274",1997,10,30.7,13.94
"1275",1997,11,78.7,4.33
"1276",1997,12,4.3,-0.67
"1285",1998,1,3,-0.56
"1289",1998,2,45.5,3.22
"1290",1998,3,48,2.33
"1291",1998,4,88.9,10.78
"1292",1998,5,52.8,19.89
"1293",1998,6,27.9,23.39
"1294",1998,7,174.2,26.61
"1295",1998,8,61.5,25.39
"1296",1998,9,29.7,23.67
"1286",1998,10,2.3,14.89
"1287",1998,11,4.3,7.33
"1288",1998,12,4.6,0.78
"1297",1999,1,22.4,-0.39
"1301",1999,2,0.8,5.11
"1302",1999,3,43.9,4.94
"1303",1999,4,82,11.33
"1304",1999,5,54.1,17.61
"1305",1999,6,102.1,21.5
"1306",1999,7,101.1,27.28
"1307",1999,8,137.2,25.22
"1308",1999,9,43.9,18.89
"1299",1999,11,34.3,9.22
"1300",1999,12,3.8,2.17
"1309",2000,1,7.1,-0.39
"1313",2000,2,19.6,3.89
"1314",2000,3,108,6.94
"1315",2000,4,46.7,11.61
"1316",2000,5,70.1,19.39
"1317",2000,6,33.3,23.17
"1318",2000,7,157,26.22
"1319",2000,8,6.9,28.56
"1320",2000,9,17.5,21.83
"1311",2000,11,12.7,1.89
"1312",2000,12,1,-4.33
"1321",2001,1,29.2,-0.67
"1325",2001,2,41.1,-3.28
"1326",2001,3,31,4.5
"1327",2001,4,36.1,14
"1328",2001,5,170.7,17.94
"1329",2001,6,82.6,22.11
"1330",2001,7,119.9,28.5
"1331",2001,8,46.7,25.89
"1332",2001,9,138.4,19.78
"1322",2001,10,77,12.78
"1323",2001,11,1.8,9
"1324",2001,12,0.8,1.78
"1333",2002,1,13.2,0.22
"1337",2002,2,7.9,0
"1338",2002,3,9.9,2.28
"1339",2002,4,55.1,13.06
"1340",2002,5,53.1,16.5
"1341",2002,6,23.9,26.06
"1342",2002,7,64.5,27.44
"1343",2002,8,102.1,25.11
"1344",2002,9,33.5,20.89
